start_time,end_time,speaker
13.248,32.7, SPEAKER_00
33.3,35.5, SPEAKER_01
35.8,38.5, SPEAKER_01
38.9,45.6, SPEAKER_00
46.4,47.9, SPEAKER_01
48.3,49.0, SPEAKER_00
49.1,50.0, SPEAKER_01
50.0,54.3, SPEAKER_00
53.7,56.256, SPEAKER_01
200.064,200.1, SPEAKER_00
200.1,205.0, SPEAKER_01
205.1,213.1, SPEAKER_00
214.0,216.3, SPEAKER_00
216.8,232.9, SPEAKER_00
233.5,235.6, SPEAKER_00
235.8,245.3, SPEAKER_00
245.6,248.7, SPEAKER_01
249.1,260.9, SPEAKER_01
253.2,253.9, SPEAKER_00
254.6,254.7, SPEAKER_00
254.8,255.0, SPEAKER_00
261.5,265.1, SPEAKER_01
265.5,267.6, SPEAKER_00
267.7,270.2, SPEAKER_00
270.2,280.8, SPEAKER_00
281.4,284.7, SPEAKER_00
285.1,290.5, SPEAKER_00
291.0,292.0, SPEAKER_00
292.0,295.1, SPEAKER_01
294.1,297.2, SPEAKER_00
296.7,299.7, SPEAKER_01
300.0,300.9, SPEAKER_01
301.1,304.4, SPEAKER_01
304.5,311.9, SPEAKER_01
311.9,318.9, SPEAKER_00
319.1,320.4, SPEAKER_00
320.6,331.0, SPEAKER_00
332.2,337.7, SPEAKER_00
338.0,338.9, SPEAKER_01
338.9,341.7, SPEAKER_00
338.9,339.3, SPEAKER_01
342.1,348.3, SPEAKER_00
348.7,353.2, SPEAKER_00
353.6,354.9, SPEAKER_00
354.5,362.7, SPEAKER_01
357.7,358.8, SPEAKER_00
362.7,364.1, SPEAKER_00
364.1,368.6, SPEAKER_01
368.9,369.9, SPEAKER_01
370.5,371.7, SPEAKER_01
372.3,375.9, SPEAKER_01
376.2,377.1, SPEAKER_01
377.6,382.2, SPEAKER_01
382.5,388.1, SPEAKER_01
388.7,390.4, SPEAKER_00
390.5,390.9, SPEAKER_01
391.0,393.1, SPEAKER_00
392.1,392.6, SPEAKER_01
393.3,398.3, SPEAKER_01
398.8,401.4, SPEAKER_01
401.6,403.5, SPEAKER_01
403.5,404.8, SPEAKER_00
405.3,422.3, SPEAKER_00
413.0,413.5, SPEAKER_01
422.4,426.9, SPEAKER_00
423.8,424.4, SPEAKER_01
427.1,429.5, SPEAKER_00
429.8,436.9, SPEAKER_01
436.4,440.3, SPEAKER_00
440.4,466.0, SPEAKER_00
466.0,466.5, SPEAKER_01
466.3,467.9, SPEAKER_00
469.248,474.9, SPEAKER_00
475.8,479.8, SPEAKER_00
480.2,482.0, SPEAKER_00
482.2,485.4, SPEAKER_01
485.8,521.5, SPEAKER_00
521.8,526.9, SPEAKER_01
527.1,546.0, SPEAKER_00
540.8,541.0, SPEAKER_01
546.5,551.9, SPEAKER_00
552.4,553.6, SPEAKER_00
553.7,555.3, SPEAKER_00
555.8,559.0, SPEAKER_00
559.9,560.5, SPEAKER_00
560.9,576.5, SPEAKER_00
577.0,582.5, SPEAKER_00
582.6,584.2, SPEAKER_00
584.7,585.9, SPEAKER_00
586.3,588.7, SPEAKER_00
588.8,606.8, SPEAKER_00
606.7,611.4, SPEAKER_01
610.2,612.3, SPEAKER_00
612.3,616.6, SPEAKER_01
616.8,621.4, SPEAKER_01
619.0,628.7, SPEAKER_00
628.6,629.9, SPEAKER_01
629.9,646.8, SPEAKER_00
631.8,632.5, SPEAKER_01
647.4,649.6, SPEAKER_00
650.2,657.3, SPEAKER_00
657.8,660.7, SPEAKER_00
660.7,660.8, SPEAKER_01
660.8,662.0, SPEAKER_00
662.0,665.9, SPEAKER_01
666.1,668.2, SPEAKER_01
668.2,671.3, SPEAKER_00
671.9,683.5, SPEAKER_00
683.5,691.0, SPEAKER_00
690.9,697.6, SPEAKER_01
694.8,695.7, SPEAKER_00
696.8,707.4, SPEAKER_00
707.3,709.6, SPEAKER_01
710.1,710.6, SPEAKER_00
711.0,713.3, SPEAKER_00
713.4,713.8, SPEAKER_00
713.8,715.5840000000001, SPEAKER_00
820.032,820.9, SPEAKER_00
821.4,822.5, SPEAKER_00
822.7,827.0, SPEAKER_00
827.4,831.1, SPEAKER_00
831.7,834.8, SPEAKER_00
835.4,840.9, SPEAKER_00
840.5,845.7, SPEAKER_01
844.2,844.6, SPEAKER_00
846.1,848.1, SPEAKER_01
848.5,855.0, SPEAKER_01
854.5,857.088, SPEAKER_00
900.096,901.3, SPEAKER_01
901.5,904.5, SPEAKER_01
905.1,907.6, SPEAKER_01
908.0,909.6, SPEAKER_01
910.0,913.5, SPEAKER_01
913.9,917.6, SPEAKER_01
918.2,922.6, SPEAKER_01
922.9,926.0, SPEAKER_01
926.6,945.3, SPEAKER_01
928.8,929.2, SPEAKER_00
931.6,932.1, SPEAKER_00
936.3,936.7, SPEAKER_00
945.4,948.3, SPEAKER_00
948.4,956.0, SPEAKER_00
956.7,960.0, SPEAKER_00
960.4,965.8, SPEAKER_00
966.1,972.3, SPEAKER_00
972.9,975.4, SPEAKER_00
975.7,976.1, SPEAKER_00
976.3,979.7, SPEAKER_00
980.0,981.2, SPEAKER_00
981.5,984.768, SPEAKER_00
